1: 44,80,48,86,95,22,60,36,63,43,50,17,78,52,37,33,77,28,31,61,1,94,0,7,18,73,15,70,75,27,65,99,2,90,62,39,3,46,91,47,71,51,35,12,96,24,79,59,89,5,23,11,32,83,25,20,88,6,58,42,98,81,10,4,30,92,19,82,14,66,8,97,74,87,69,34,26,45,9,53,67,72,57,41,29,49,40,64,93,21,76,54,84,55,13,38,68,85,16,56,
2: 9,81,53,35,43,68,1,97,36,76,79,8,58,61,31,90,93,16,11,30,2,42,38,23,82,26,49,56,65,88,92,55,98,94,25,7,48,20,14,72,74,85,46,21,99,47,15,66,91,52,6,57,60,12,17,96,24,95,83,64,37,75,28,44,86,3,50,10,78,33,45,29,27,5,59,54,89,18,13,19,87,0,62,73,70,77,34,32,22,51,4,40,80,67,41,39,63,84,71,69,
3: 38,33,21,72,32,95,67,18,60,30,73,77,34,59,56,90,61,52,11,74,46,26,35,88,63,89,94,70,75,62,28,20,17,49,84,97,4,15,3,22,44,55,91,5,78,36,13,43,96,29,10,58,76,1,71,25,51,98,7,79,42,24,85,16,0,6,8,48,69,41,54,65,45,83,12,31,23,53,87,50,82,99,68,57,39,64,92,86,80,19,93,81,9,2,37,40,47,66,14,27,
4: 81,43,41,21,90,98,79,67,63,47,19,30,20,69,7,13,53,76,2,32,56,42,36,86,55,92,95,39,74,33,35,6,22,3,8,18,65,9,54,59,88,91,28,68,29,5,26,77,58,51,94,96,23,87,10,83,62,48,46,70,93,64,84,60,14,34,24,16,0,50,66,15,38,72,75,82,99,45,11,1,17,73,97,25,12,31,40,4,27,71,52,44,49,80,37,89,85,61,57,78,
5: 89,61,15,58,40,42,92,69,0,13,26,30,54,20,39,63,59,18,72,64,23,74,12,47,68,66,53,95,99,94,91,29,52,80,8,24,46,83,77,10,34,4,93,22,65,97,31,81,32,55,49,17,19,11,76,3,1,6,88,14,25,73,85,43,5,2,41,84,70,28,38,79,98,87,51,62,67,86,9,57,37,78,44,56,48,96,82,75,60,21,50,33,27,36,7,71,35,90,16,45,
6: 54,50,16,1,59,75,30,93,5,65,71,80,70,22,46,35,33,21,14,49,51,3,97,17,66,82,90,4,39,72,23,84,55,12,61,2,36,11,85,79,6,86,88,18,69,7,37,32,77,48,34,38,44,9,60,96,19,8,41,45,99,73,15,13,53,87,74,95,10,24,91,78,26,83,62,94,52,25,42,31,98,40,47,63,27,58,0,89,56,92,68,81,20,64,28,76,57,29,67,43,
7: 91,53,97,70,10,77,29,45,9,31,34,67,73,32,78,64,61,72,50,13,40,1,66,16,82,11,36,69,62,26,81,0,94,54,22,68,23,5,38,41,88,95,99,18,6,52,20,25,83,90,14,63,60,92,80,8,15,17,98,57,65,79,39,55,3,93,56,48,2,85,43,84,75,21,35,86,19,7,30,51,27,96,47,59,33,89,24,37,58,71,74,46,28,12,4,49,42,76,87,44,
8: 56,68,97,16,54,35,55,64,12,51,22,40,78,67,28,95,33,61,87,17,42,52,63,14,84,30,5,7,15,37,57,99,13,0,77,58,76,1,10,90,74,23,79,75,19,44,24,93,4,70,59,98,29,41,89,20,3,43,21,18,26,62,80,2,34,36,6,91,94,88,86,31,92,11,48,72,60,71,73,9,53,39,25,83,69,47,27,8,38,65,96,46,49,82,45,85,50,66,81,32,
9: 62,87,50,91,28,49,90,17,7,81,95,42,38,65,31,56,94,97,18,57,77,64,43,72,59,15,51,47,35,22,83,98,6,36,66,80,24,84,44,3,21,39,88,93,2,78,13,0,61,19,5,53,20,40,16,63,52,99,41,32,4,12,25,23,11,69,96,45,33,48,79,82,86,68,58,9,26,89,14,10,1,30,73,54,76,67,34,92,85,55,75,60,27,70,46,8,37,29,74,71,
10: 56,75,47,64,44,19,38,57,25,79,87,20,83,55,1,10,88,66,99,94,40,90,68,89,81,5,49,15,96,23,54,30,50,74,82,98,62,6,43,31,14,53,32,7,77,24,11,63,67,59,16,42,34,12,91,84,3,95,21,72,2,58,39,17,85,26,36,97,69,4,78,71,27,45,52,28,51,29,18,35,73,48,86,9,60,92,70,0,37,46,61,76,8,41,80,93,13,65,22,33,
