1: 19,38,1,11,7,17,34,3,29,32,44,9,41,23,36,30,43,18,15,12,14,6,4,0,33,42,2,16,20,45,8,49,46,35,47,40,26,21,25,22,31,10,48,13,39,24,27,5,28,37,
2: 20,38,48,30,33,29,7,47,8,13,16,24,44,10,45,49,12,36,28,11,5,15,43,4,27,37,3,25,46,19,41,1,40,42,6,9,22,39,31,34,2,14,18,0,26,23,21,35,32,17,
3: 16,35,44,25,47,15,8,18,22,9,3,20,33,21,45,27,39,49,38,5,37,19,17,41,30,1,7,2,32,6,14,46,11,29,31,13,43,26,23,42,12,28,36,10,24,4,34,0,40,48,
4: 43,32,39,18,23,45,10,49,7,19,1,46,25,6,16,21,36,31,2,27,44,37,47,9,41,20,29,24,35,38,48,13,3,33,8,4,11,17,15,22,0,42,34,30,5,26,40,12,14,28,
5: 38,27,15,5,3,13,25,46,33,24,30,28,45,8,44,11,40,2,18,6,0,48,32,37,22,4,17,49,20,35,31,36,10,1,43,39,47,34,9,42,12,29,23,7,19,14,16,21,41,26,
6: 44,5,34,43,20,33,47,40,25,9,16,45,22,3,28,36,24,2,12,18,1,7,42,35,11,30,19,38,46,31,49,8,39,48,14,17,37,4,29,27,23,13,26,32,6,41,15,10,21,0,
7: 24,42,25,16,31,27,44,7,14,8,38,9,47,3,1,11,17,35,21,30,49,15,39,6,43,22,36,19,37,34,46,26,10,18,48,23,4,41,0,2,13,32,28,45,33,29,20,40,12,5,
8: 41,4,16,35,13,30,1,36,8,24,29,18,20,43,47,9,39,14,10,45,6,49,40,44,28,23,25,17,48,5,42,22,33,38,12,46,11,0,19,21,2,37,26,31,15,32,3,7,27,34,
9: 17,31,22,26,38,5,19,43,35,6,36,30,16,14,45,18,24,1,39,34,0,37,46,48,42,11,8,12,23,40,7,41,3,27,21,13,9,25,44,28,4,32,49,33,10,20,29,2,15,47,
10: 28,40,38,16,30,39,24,42,4,17,41,31,36,34,11,21,46,22,19,8,0,12,44,9,47,35,3,25,15,2,49,45,32,5,29,10,48,20,37,43,14,33,26,13,6,1,27,23,7,18,
11: 9,1,20,25,11,3,33,39,45,35,16,36,47,12,31,6,17,40,32,13,44,14,38,4,34,27,8,15,48,37,42,46,29,10,7,19,2,0,49,43,23,21,28,30,5,24,22,18,26,41,
12: 25,39,16,33,20,26,32,14,41,18,3,22,47,45,8,19,28,34,42,4,49,9,24,12,46,7,2,27,15,0,35,11,30,48,29,10,44,40,17,36,1,6,43,21,13,31,37,5,38,23,
13: 43,49,24,31,44,4,47,18,11,7,45,26,9,23,15,20,28,5,27,13,38,46,41,37,16,3,42,34,48,33,1,21,32,39,8,12,2,17,19,0,25,10,14,6,35,40,29,36,30,22,
14: 37,20,17,7,30,48,24,1,35,22,12,47,15,23,38,14,32,6,41,49,4,33,27,5,2,36,9,13,16,46,25,45,39,29,26,43,10,28,0,8,40,31,3,44,19,11,18,34,21,42,
