1: 84,2,11,79,37,41,6,38,96,57,53,23,27,55,58,29,36,43,7,56,61,46,93,62,71,86,9,34,85,88,20,24,90,3,25,54,99,91,13,95,78,21,74,0,12,94,68,33,22,51,14,48,97,30,72,83,1,49,19,15,87,32,75,92,5,8,77,45,76,73,17,50,26,28,59,70,64,82,47,44,52,39,10,67,4,66,80,18,98,65,89,40,16,60,42,35,69,63,31,81,
2: 64,19,97,52,37,53,17,63,38,29,39,90,56,49,79,27,89,80,61,91,55,95,47,69,24,5,8,50,33,22,13,81,93,57,92,67,77,51,14,18,4,35,58,10,1,62,21,87,85,70,88,23,99,3,96,68,15,26,45,0,82,59,25,28,42,31,20,48,36,84,98,11,9,72,44,65,60,7,66,32,83,78,16,74,46,71,75,34,94,6,86,76,2,54,43,40,12,30,41,73,
3: 31,55,22,36,91,69,44,64,57,3,98,46,92,94,77,18,82,84,60,35,29,32,5,53,89,80,41,8,42,39,52,87,90,7,58,61,79,26,86,2,99,70,88,30,56,17,47,43,16,83,10,78,9,85,1,20,97,59,48,28,6,11,21,54,25,14,19,75,65,45,40,38,95,13,74,81,93,50,76,24,72,63,37,96,4,49,34,62,67,73,12,68,33,71,0,66,27,15,23,51,
4: 69,72,42,82,58,96,54,22,24,71,55,28,63,50,78,41,51,11,16,60,56,98,9,34,17,80,68,59,46,62,95,65,99,39,44,13,35,6,52,19,83,5,61,8,26,84,90,14,33,77,70,81,75,36,29,4,10,30,49,18,87,21,91,94,53,89,74,1,47,64,32,37,97,43,48,25,23,7,20,86,31,57,27,73,93,66,2,88,40,45,92,79,76,85,3,0,67,15,12,38,
5: 53,95,38,8,37,2,31,58,71,50,32,61,79,62,96,46,33,83,44,9,13,5,90,27,15,60,55,70,80,1,91,29,20,11,88,36,12,82,85,51,42,48,97,43,81,93,86,77,87,28,59,18,68,23,4,49,22,0,72,54,7,67,30,73,84,78,89,3,39,24,10,35,16,21,98,94,57,40,99,65,76,34,17,66,92,26,45,14,63,74,64,25,69,75,52,19,56,6,47,41,
6: 87,19,98,50,28,30,70,72,94,82,79,93,43,64,59,31,62,76,97,2,16,74,35,45,86,55,60,38,26,34,22,18,92,17,8,83,46,32,65,78,20,91,56,15,44,89,75,24,88,25,58,5,40,6,10,61,27,90,48,7,95,1,63,67,96,85,57,42,33,68,11,99,41,66,23,0,9,80,12,49,39,3,84,13,21,29,52,54,73,51,69,36,81,14,37,4,53,47,71,77,
7: 12,56,20,73,87,43,66,81,88,36,5,26,77,10,24,31,52,22,57,63,21,23,65,13,37,89,47,16,28,95,41,84,3,94,58,44,4,85,17,59,69,98,64,62,67,6,34,78,30,48,19,1,18,90,32,96,86,99,25,7,0,55,79,2,97,72,91,93,60,39,61,29,80,46,49,71,14,8,35,42,83,68,54,27,33,45,40,15,50,70,75,38,11,76,74,9,51,53,82,92,
8: 27,54,80,70,3,38,65,9,29,25,52,14,68,39,98,62,28,94,4,82,75,51,36,47,7,10,90,22,50,13,58,99,8,93,95,48,73,66,61,6,97,23,43,84,89,2,92,55,67,42,0,91,11,34,59,64,87,32,76,63,15,5,24,69,96,33,81,40,57,79,30,35,18,44,19,71,45,74,26,56,16,37,12,53,72,20,77,21,86,83,41,78,31,85,60,49,1,17,88,46,
9: 60,47,83,34,73,57,78,49,46,19,95,58,61,68,90,40,17,13,8,87,74,55,50,36,77,16,24,41,65,69,91,14,54,5,27,9,86,96,26,7,88,48,75,10,44,66,21,62,30,2,20,28,82,59,98,52,35,23,81,85,63,4,12,3,72,22,31,99,97,6,32,89,76,84,94,67,56,93,51,39,15,45,33,0,53,71,64,29,37,11,18,1,79,92,70,25,42,38,43,80,
10: 31,88,59,95,55,81,74,76,57,14,69,46,79,15,92,77,16,51,40,20,58,49,38,26,45,12,91,21,39,0,71,84,9,17,60,11,78,25,75,32,63,22,33,93,87,52,28,8,6,85,54,90,50,70,83,99,66,82,47,89,72,24,80,36,23,7,10,42,5,61,65,56,96,37,64,13,1,86,29,41,2,94,34,98,44,68,43,3,67,97,35,30,27,73,18,62,4,53,48,19,
