1: 19,13,25,8,24,27,39,6,14,37,31,20,3,47,30,32,5,48,2,45,49,22,46,16,9,33,4,40,26,0,7,11,43,1,28,17,15,44,10,35,21,38,42,29,34,18,41,12,23,36,
2: 47,6,18,31,25,1,45,33,20,4,7,38,15,11,24,30,39,9,3,13,44,27,41,16,12,8,43,40,2,36,5,0,10,35,48,22,26,17,37,21,49,42,19,29,14,34,46,23,32,28,
3: 21,15,24,27,1,34,37,43,14,28,17,0,12,16,31,19,49,45,36,13,40,46,6,10,7,30,22,39,23,44,8,32,48,42,2,11,47,3,20,29,9,18,35,4,25,33,26,38,5,41,
4: 38,17,4,2,27,30,49,44,20,7,11,3,47,24,8,0,37,23,21,48,16,41,39,18,5,32,6,31,14,34,43,45,42,10,13,25,12,15,46,36,40,29,35,26,28,9,33,19,1,22,
5: 32,37,10,26,19,49,33,27,13,21,8,36,29,44,2,48,34,20,4,45,0,31,24,5,18,47,23,38,41,16,6,9,28,25,40,42,35,46,15,22,3,7,14,1,11,30,39,12,43,17,
6: 17,32,44,23,27,38,22,8,47,49,3,1,12,35,21,10,4,15,26,31,19,24,40,28,5,46,41,9,6,43,36,7,42,30,25,2,13,39,18,48,0,20,11,14,33,37,29,34,16,45,
7: 2,28,12,34,38,22,19,46,49,21,35,0,40,43,5,36,1,24,6,20,18,25,45,17,44,11,9,4,33,26,39,3,27,15,42,31,47,7,16,10,32,41,8,30,37,48,14,23,29,13,
8: 15,28,31,39,47,12,24,21,17,4,43,45,11,23,5,35,19,29,3,25,42,10,48,40,49,13,6,32,9,26,46,27,7,16,34,37,44,8,14,18,0,33,1,41,22,38,2,20,30,36,
9: 23,49,6,13,24,39,45,19,35,12,26,42,17,21,11,48,1,10,46,0,34,9,2,44,25,20,33,5,27,40,3,8,15,7,47,37,30,28,4,31,22,16,18,41,14,29,32,43,38,36,
10: 33,27,36,2,47,19,29,35,13,16,48,3,34,43,15,26,37,20,5,44,28,10,40,21,30,1,38,18,8,11,4,12,42,6,49,25,31,39,23,32,17,9,46,22,41,14,24,0,7,45,
11: 16,14,25,47,19,23,27,15,46,40,1,9,39,5,33,37,44,20,7,21,24,45,12,48,38,6,4,28,10,35,42,30,49,43,2,18,22,32,8,3,17,34,26,31,29,11,13,41,0,36,
12: 2,14,32,34,45,17,35,25,28,36,21,12,5,16,10,4,24,1,41,19,8,37,26,29,9,44,40,3,49,15,13,48,39,43,31,0,6,27,47,11,20,46,33,18,7,22,38,42,30,23,
13: 33,21,48,27,2,32,25,38,26,4,46,18,24,12,3,6,16,40,28,23,31,7,1,49,17,19,0,8,45,9,44,47,34,10,35,20,39,42,30,14,22,29,5,11,15,41,43,37,13,36,
14: 44,16,18,42,8,37,1,31,6,26,41,17,40,35,7,22,0,29,14,4,30,48,2,11,43,39,3,9,46,12,32,28,23,25,20,38,47,24,19,33,45,15,21,10,5,34,36,13,49,27,
15: 11,39,29,26,20,33,13,36,17,12,35,46,48,19,3,1,47,25,31,4,38,9,6,16,45,22,41,27,18,8,49,2,42,28,7,0,34,14,37,5,32,23,43,30,24,21,40,15,44,10,
16: 41,29,4,32,40,26,21,14,43,15,35,28,24,7,2,34,3,39,48,9,6,16,0,27,8,22,44,25,10,49,31,45,11,1,23,20,46,42,37,47,33,13,38,17,19,36,12,30,5,18,
17: 23,26,2,42,18,14,37,35,7,45,43,22,19,48,6,13,46,39,20,10,24,47,49,3,40,30,15,9,38,41,16,8,28,4,0,32,12,21,44,1,33,11,27,31,34,5,29,25,17,36,
18: 13,28,24,39,6,3,38,33,42,34,10,46,4,18,5,8,44,47,36,22,17,25,0,32,43,41,2,9,7,23,15,37,1,40,29,49,20,48,27,14,11,21,19,16,30,26,12,35,31,45,
19: 18,32,27,40,20,17,4,42,12,22,37,41,5,14,36,48,23,45,33,16,6,44,1,19,43,13,2,30,8,49,11,9,21,28,34,25,46,0,7,38,31,3,24,26,29,47,10,39,35,15,
20: 5,42,34,18,29,1,12,8,21,46,32,15,10,39,45,49,19,33,38,30,0,13,16,40,47,2,36,20,11,28,48,17,14,4,24,44,25,7,22,6,37,26,23,43,31,9,41,35,3,27,
21: 25,42,5,18,33,49,41,23,28,20,6,34,7,22,46,3,37,27,45,32,11,13,30,0,2,44,48,31,21,12,36,1,8,38,14,47,10,19,17,26,24,39,43,40,29,16,4,15,9,35,
22: 13,19,47,36,39,27,22,35,18,46,17,1,4,34,5,9,28,40,16,48,25,2,31,37,6,33,10,14,45,32,3,7,20,44,30,15,29,11,21,24,26,43,41,8,12,49,0,42,23,38,
23: 31,20,25,14,9,23,3,42,37,13,36,45,11,40,10,22,18,47,26,33,5,38,46,39,24,15,41,16,49,12,2,34,6,28,44,0,48,21,1,30,32,35,29,4,19,43,8,27,7,17,
24: 22,38,29,21,45,31,48,40,25,43,0,12,1,32,13,46,3,33,24,16,14,41,7,2,6,30,39,10,23,44,34,17,35,11,9,5,47,4,19,49,28,37,42,15,36,18,20,27,8,26,
25: 47,2,39,18,14,26,40,32,30,20,16,19,21,11,42,8,43,5,9,48,37,13,27,35,44,0,10,1,15,23,33,4,29,12,3,25,17,7,45,38,36,24,46,28,22,34,41,49,6,31,
26: 28,25,47,11,34,38,27,17,3,9,35,37,0,40,5,26,30,20,41,48,22,8,14,29,42,6,4,43,7,18,10,1,31,23,16,19,32,2,39,33,44,46,49,36,21,13,15,45,12,24,
27: 5,12,32,11,23,48,26,35,39,24,20,29,38,8,37,0,2,18,42,46,16,10,36,25,15,3,19,34,1,17,47,43,41,49,9,6,28,7,14,33,27,45,21,40,13,4,44,31,22,30,
28: 9,18,36,23,47,15,42,3,13,25,48,24,34,0,39,8,31,35,6,40,43,22,7,14,1,20,38,41,27,37,11,29,10,44,28,19,4,2,12,45,30,33,46,32,5,16,21,26,17,49,
29: 31,23,7,30,22,16,4,32,41,3,9,6,36,15,1,49,20,29,27,25,17,47,8,37,39,46,43,0,38,13,21,44,48,34,42,24,11,40,45,35,18,2,14,19,10,28,26,5,33,12,
30: 5,26,35,0,41,15,38,24,17,3,12,46,28,37,25,27,19,2,47,9,43,22,49,11,32,7,10,42,48,4,8,30,23,13,40,18,31,14,45,20,1,34,6,29,33,21,16,39,44,36,
31: 38,41,26,22,15,17,3,32,29,7,46,16,43,27,9,47,49,13,25,34,6,30,48,8,0,42,19,21,1,4,33,37,45,11,35,14,5,24,12,20,31,40,44,23,28,2,18,10,36,39,
32: 35,38,10,26,2,33,39,1,11,31,34,40,4,30,14,21,18,16,44,49,47,9,19,3,8,0,45,32,29,43,48,22,5,42,24,46,6,13,27,17,12,23,37,20,25,28,15,7,41,36,
33: 43,20,17,9,33,23,47,11,15,21,1,4,42,18,31,24,40,30,46,6,16,3,48,34,45,25,36,0,13,19,44,7,29,49,32,37,22,12,8,5,2,10,41,35,27,39,14,26,28,38,
34: 21,1,12,31,18,45,33,5,49,32,19,17,3,24,22,28,9,48,13,43,40,25,4,38,46,41,6,0,47,16,42,27,15,30,37,7,20,39,14,10,34,26,2,8,11,44,23,36,29,35,
35: 6,34,30,20,14,29,9,42,48,1,21,32,27,47,28,33,4,11,44,39,5,8,19,22,46,15,31,36,26,37,49,2,45,13,35,24,17,7,0,12,40,43,10,38,23,41,18,3,25,16,
36: 41,43,36,26,0,34,7,28,17,13,20,44,3,37,6,18,15,47,33,24,27,32,38,11,21,45,48,39,4,8,16,49,10,46,29,1,42,31,2,22,9,30,14,5,25,12,19,40,35,23,
37: 5,37,34,21,25,29,13,16,33,26,47,6,20,15,41,0,42,39,8,1,31,22,9,14,43,38,19,27,48,4,45,11,18,7,32,49,24,36,30,23,46,12,10,40,17,3,35,2,44,28,
38: 37,48,29,38,10,21,27,2,9,39,15,33,3,22,45,32,4,13,11,17,19,0,42,23,16,35,41,31,6,47,20,44,34,5,46,8,25,40,49,24,14,1,28,26,7,12,43,18,30,36,
39: 28,46,15,32,40,24,6,23,17,10,12,31,34,25,44,5,20,49,0,22,7,47,33,1,29,9,43,21,42,35,19,14,18,4,41,8,27,36,2,37,48,26,30,11,16,38,13,39,3,45,
40: 39,26,43,16,25,17,30,13,4,47,11,33,38,22,28,48,27,1,5,18,8,10,2,31,6,44,20,37,46,32,45,29,49,0,36,12,41,3,14,34,19,24,42,40,7,35,21,15,9,23,
41: 12,37,44,18,30,21,14,0,28,9,34,29,11,35,5,1,39,48,19,6,23,38,32,7,43,36,40,4,22,33,27,10,20,46,24,42,17,2,13,8,16,47,31,26,49,25,3,45,15,41,
